single_frac,task_alpha,single_mass,multi_mass,total_mass,multicellular_pct
0.875,0.7272,18,1,20,0.5131397003971586
0.875,0.8379,18,1,20,0.4775928736437609
0.875,0.9655,18,1,20,0.5009820390785641
0.875,1.1125,18,1,20,0.4958036534023851
0.875,1.2819,18,1,20,0.5184184839710076
0.875,1.477,18,1,20,0.4925596589970389
0.875,1.7019,18,1,20,0.48785015351942956
0.875,1.961,18,1,20,0.47873246027529115
0.875,2.2596,18,1,20,0.46277109486124207
0.875,2.6036,18,1,20,0.45513677934774033
0.875,3.0,18,1,20,0.4945867415449003
0.9167,0.1,18,1,20,0.639288793031716
0.9167,0.1152,18,1,20,0.7880051101768416
0.9167,0.1328,18,1,20,0.6197876606393957
0.9167,0.153,18,1,20,0.7226477863126756
0.9167,0.1763,18,1,20,0.7258659055854966
0.9167,0.2031,18,1,20,0.6671070111732899
0.9167,0.234,18,1,20,0.5650438094855621
0.9167,0.2697,18,1,20,0.6342302943657404
0.9167,0.3107,18,1,20,0.6696880636169865
0.9167,0.358,18,1,20,0.58990721915662
0.9167,0.4125,18,1,20,0.6200670479166949
0.9167,0.4754,18,1,20,0.5371058101861085
0.9167,0.5477,18,1,20,0.5596290979956788
0.9167,0.6311,18,1,20,0.5590418523589812
0.9167,0.7272,18,1,20,0.5008359299030013
0.9167,0.8379,18,1,20,0.4952542003355666
0.9167,0.9655,18,1,20,0.5098459869881579
0.9167,1.1125,18,1,20,0.4957164973110533
